"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"74","Gorgui Dieng",2,"MIN","C",0.47,0.37,0.1,0.07,0.08,59.9,149,15170787
"75","Eric Bledsoe",78,"MIL","PG",0.55,0.43,0.1,0.19,0.04,60.8,59,1.5e+07
"76","Trevor Ariza",138,"TOT","SF",1.07,0.92,0.2,0.32,0.06,55.5,25,1.5e+07
"77","Ricky Rubio",67,"UTA","PG",0.45,0.38,0.12,0.22,0.02,55.4,468,14800000
"78","Tobias Harris",164,"TOT","PF",1.7,1.31,0.32,0.24,0.08,61.6,228,14800000
"79","JR Smith",4,"CLE","SG",0.33,0.36,0.05,0.09,0,44.5,490,14720000
"80","Brandon Knight",52,"TOT","PG",1.04,1.1,0.18,0.27,0.04,45.6,307,14631250
"81","James Johnson",33,"MIA","PF",0.37,0.33,0.06,0.12,0.02,53.9,284,14420700
"82","Robin Lopez",36,"CHI","C",0.44,0.33,0.08,0.06,0.09,63.3,334,14357750
"83","Kenneth Faried",26,"TOT","C",1.57,1.09,0.41,0.07,0.39,66.5,174,14242782
"84","Marvin Williams",75,"CHO","PF",0.35,0.31,0.04,0.04,0.04,54.9,554,14087500
"85","Taj Gibson",57,"MIN","PF",0.45,0.32,0.1,0.05,0.1,65.8,198,1.4e+07
"86","Thaddeus Young",81,"IND","PF",0.41,0.34,0.05,0.08,0.08,58.4,568,13764045
"87","Tyson Chandler",12,"TOT","C",0.68,0.36,0.39,0.15,0.29,76.3,107,13585000
"88","Marcin Gortat",43,"LAC","C",0.31,0.25,0.06,0.09,0.09,58.9,208,13565218
"89","Kelly Olynyk",36,"MIA","PF",0.43,0.31,0.1,0.08,0.04,64.8,418,13537527
"90","Cody Zeller",47,"CHO","C",0.4,0.28,0.11,0.08,0.09,65.7,572,13528090
"91","Eric Gordon",53,"HOU","SG",0.51,0.43,0.07,0.06,0.01,57.3,207,13500375
"92","Austin Rivers",30,"TOT","SG",0.92,0.85,0.15,0.25,0.04,52.1,457,13155324
"93","Khris Middleton",77,"MIL","SF",0.59,0.48,0.11,0.14,0.02,58.5,370,1.3e+07
"94","Michael Kidd-Gilchrist",3,"CHO","PF",0.36,0.28,0.1,0.05,0.07,59.6,304,1.3e+07
"95","Mason Plumlee",17,"DEN","C",0.37,0.26,0.11,0.14,0.1,65.1,434,12917808
"96","Wilson Chandler",66,"TOT","PF-SF",0.8,0.74,0.07,0.19,0.1,53,108,12800562
"97","Solomon Hill",15,"NOP","SF",0.22,0.2,0.04,0.06,0.04,52.7,247,12763467
"98","Nikola Vucevic",80,"ORL","C",0.66,0.54,0.09,0.12,0.09,58.9,535,12750000
"99","Dion Waiters",28,"MIA","SG",0.46,0.42,0.04,0.11,0.01,53.6,538,12705000
"100","Joe Ingles",82,"UTA","PF",0.39,0.31,0.05,0.18,0.01,60.7,266,12545455
"101","Jeremy Lin",8,"TOT","PG",1.41,1.12,0.41,0.46,0.05,58.3,329,12516746
"102","Jordan Clarkson",0,"CLE","SG",0.62,0.53,0.09,0.09,0.04,56.4,114,12500000
"103","Nikola Mirotic",50,"TOT","PF",1.65,1.3,0.28,0.14,0.14,60.6,377,12500000
"104","Miles Plumlee",0,"ATL","C",0.46,0.28,0.17,0.1,0.09,72.5,435,12400000
"105","Tyreke Evans",18,"IND","SG",0.5,0.47,0.11,0.12,0.02,50.6,169,12400000
"106","Courtney Lee",12,"TOT","SG",0.97,0.9,0.16,0.26,0.07,51.9,320,12253780
"107","JJ Redick",63,"PHI","SG",0.58,0.43,0.11,0.09,0.01,63.8,452,12250000
"108","Avery Bradley",126,"TOT","SG",1.11,1.03,0.1,0.27,0.06,52.8,70,1.2e+07
"109","Kemba Walker",82,"CHO","PG",0.73,0.59,0.16,0.17,0.02,58.4,539,1.2e+07
"110","Kentavious Caldwell-Pope",23,"LAL","SG",0.46,0.37,0.08,0.05,0.02,59.3,94,1.2e+07
"111","Will Barton",38,"DEN","SG",0.42,0.39,0.06,0.1,0.03,52.1,37,11830358
"112","TJ Warren",36,"PHO","SF",0.57,0.45,0.09,0.05,0.02,60.7,544,11750000
"113","Alec Burks",48,"TOT","SG",1.52,1.27,0.38,0.35,0.07,56.1,89,11536515
"114","Marcus Smart",60,"BOS","SG",0.32,0.26,0.06,0.15,0.03,58.6,489,11160716
"115","Jusuf Nurkic",72,"POR","C",0.57,0.42,0.18,0.12,0.12,62,409,11111111
"116","Iman Shumpert",82,"TOT","SG",0.89,0.87,0.08,0.21,0.06,50.1,481,11011234
"117","Tony Snell",12,"MIL","SF",0.34,0.28,0.03,0.05,0.02,59.3,496,10607143
"118","Dante Exum",1,"UTA","PG",0.43,0.36,0.13,0.17,0.02,55.3,173,10600000
"119","Meyers Leonard",2,"POR","C",0.41,0.28,0.06,0.09,0.06,69.9,325,10595506
"120","John Henson",0,"MIL","C",0.42,0.36,0.05,0.07,0.09,56.6,238,10577466
"121","Bojan Bogdanovic",81,"IND","SF",0.57,0.41,0.12,0.06,0.01,65.3,62,10500000
"122","Terrence Ross",0,"ORL","SG",0.57,0.48,0.07,0.06,0.01,57.5,466,10500000
"123","Robert Covington",70,"TOT","SF",1.14,0.89,0.21,0.11,0.07,60.9,124,10464092
"124","Rudy Gay",51,"SAS","PF",0.51,0.4,0.08,0.1,0.03,61.1,196,10087200
"125","Jon Leuer",1,"DET","PF",0.39,0.28,0.08,0.03,0.07,65.5,326,10002681
"126","Danny Green",80,"TOR","SG",0.37,0.28,0.02,0.06,0.03,65,215,1e+07
"127","Darren Collison",76,"IND","PG",0.4,0.31,0.09,0.21,0.02,60.6,117,1e+07
"128","Dwight Powell",22,"DAL","C",0.49,0.29,0.15,0.07,0.08,75.9,442,9631250
"129","Matthew Dellavedova",0,"TOT","PG",0.92,0.81,0.17,0.73,0.02,54.3,142,9607500
"130","Jared Dudley",25,"BRK","PF",0.24,0.2,0.04,0.07,0.03,57.5,158,9530000
"131","Boban Marjanovic",24,"TOT","C",1.85,1.15,0.56,0.24,0.38,72.7,349,9490740
"132","Josh Richardson",73,"MIA","SG",0.48,0.4,0.09,0.12,0.02,57.2,455,9367200
"133","Norman Powell",3,"TOR","SG",0.46,0.36,0.07,0.08,0.01,61.3,443,9367200
"134","Markieff Morris",32,"TOT","PF",1.28,1.16,0.2,0.18,0.15,53.2,384,9173294
"135","Bogdan Bogdanovic",17,"SAC","SG",0.51,0.44,0.08,0.14,0.02,55.7,63,9e+06
"136","Rajon Rondo",29,"LAL","PG",0.31,0.32,0.03,0.27,0.02,47.5,464,9e+06
"137","E'Twaun Moore",36,"NOP","SG",0.43,0.36,0.04,0.07,0.02,58.3,381,8808685
"138","Kosta Koufos",1,"SAC","C",0.31,0.3,0.05,0.07,0.1,49.8,312,8739500
"139","Fred VanVleet",28,"TOR","PG",0.4,0.34,0.07,0.17,0.01,56.3,533,8653847
"140","Wayne Ellington",76,"TOT","SG",1.25,1.05,0.11,0.17,0.03,58.2,164,8653076
"141","Julius Randle",49,"NOP","PF",0.7,0.49,0.22,0.1,0.07,65,449,8641000
"142","Kyle Anderson",40,"MEM","SF",0.27,0.22,0.05,0.1,0.04,58.4,17,8641000
"143","Jerryd Bayless",6,"MIN","PG",0.32,0.35,0.04,0.18,0.02,44.6,40,8575916
"144","Cristiano Felicio",0,"CHI","C",0.32,0.24,0.1,0.05,0.11,61.1,176,8470980
"145","Markelle Fultz",15,"PHI","SG",0.36,0.36,0.09,0.14,0.06,47.4,189,8339880
"146","CJ Miles",2,"TOT","SF",1.2,1.09,0.19,0.13,0.04,53,371,8333333
"147","Jerami Grant",77,"OKC","PF",0.42,0.32,0.08,0.03,0.04,62.2,211,8333333
"148","Joe Harris",76,"BRK","SG",0.45,0.33,0.06,0.08,0.02,65.6,229,8333333
"149","Shaun Livingston",0,"GSW","PG",0.27,0.22,0.05,0.12,0.04,58.4,330,8307692
"150","Deandre Ayton",70,"PHO","C",0.53,0.4,0.09,0.06,0.1,63.1,29,8175840
"151","JaMychal Green",12,"TOT","PF",1.34,1.04,0.21,0.11,0.22,61.7,216,8066667
"152","Garrett Temple",110,"TOT","SG",0.83,0.7,0.16,0.17,0.05,56.4,509,8e+06
"153","PJ Tucker",82,"HOU","PF",0.21,0.19,0.02,0.03,0.04,54,525,7959537
"154","Cory Joseph",9,"IND","PG",0.26,0.27,0.02,0.16,0.02,47.4,299,7945000
"155","Karl-Anthony Towns",77,"MIN","C",0.74,0.52,0.18,0.1,0.1,66.1,522,7839435
"156","Kyle Korver",0,"TOT","SG-PF",1.33,1.04,0.17,0.19,0.02,61.7,311,7560000
"157","Lonzo Ball",45,"LAL","PG",0.33,0.32,0.03,0.18,0.04,50.5,34,7461960
"158","Doug McDermott",1,"IND","SF",0.42,0.31,0.06,0.05,0.01,65,360,7333334
"159","Marvin Bagley",4,"SAC","PF",0.59,0.45,0.17,0.04,0.1,60.5,31,7314960
"160","Jae Crowder",11,"UTA","SF",0.44,0.37,0.09,0.06,0.03,56.4,130,7305825
"161","DJ Augustin",81,"ORL","PG",0.42,0.3,0.09,0.19,0.02,65.7,28,7250000
"162","Lance Thomas",17,"NYK","PF",0.26,0.25,0.05,0.03,0.03,49.8,514,7119650
"163","D'Angelo Russell",81,"BRK","PG",0.7,0.62,0.08,0.23,0.02,54.9,469,7019698
"164","Davis Bertans",12,"SAS","PF",0.37,0.28,0.04,0.06,0.01,64.1,50,7e+06
"165","Ersan Ilyasova",7,"MIL","PF",0.37,0.31,0.06,0.04,0.08,57.2,265,7e+06
"166","Jeremy Lamb",55,"CHO","SG",0.54,0.44,0.12,0.08,0.03,57.9,316,7e+06
"167","Langston Galloway",4,"DET","SG",0.39,0.34,0.06,0.05,0.03,55.2,192,7e+06
"168","Al-Farouq Aminu",81,"POR","PF",0.33,0.26,0.08,0.05,0.05,59.4,15,6957105
"169","Jayson Tatum",79,"BOS","SF",0.51,0.42,0.09,0.07,0.03,58,506,6700800
"170","Luka Doncic",72,"DAL","SG",0.66,0.51,0.21,0.19,0.04,59.3,152,6569040
"171","Mario Hezonja",24,"NYK","SF",0.42,0.38,0.09,0.07,0.02,52.5,241,6500000
"172","Nemanja Bjelica",70,"SAC","PF",0.41,0.33,0.05,0.08,0.07,60.1,57,6500000
"173","Ben Simmons",79,"PHI","PG",0.5,0.36,0.16,0.23,0.06,63.3,484,6434520
"174","Dewayne Dedmon",52,"ATL","C",0.43,0.33,0.07,0.06,0.07,62.2,139,6300000
"175","Milos Teodosic",0,"LAC","PG",0.32,0.27,0.05,0.21,0.02,56.9,510,6300000
"176","Marco Belinelli",1,"SAS","SG",0.46,0.38,0.07,0.07,0.01,58.2,46,6153846
"177","Wesley Johnson",26,"TOT","SF",0.7,0.73,0.12,0.13,0.06,46.3,285,6134000
"178","Josh Jackson",29,"PHO","SG",0.46,0.42,0.11,0.09,0.03,51.8,273,6041520
"179","Jonathon Simmons",18,"TOT","SG-SF",1.06,0.96,0.29,0.38,0.07,51.8,485,6e+06
"180","Montrezl Harrell",5,"LAC","C",0.63,0.41,0.19,0.08,0.09,69.7,226,6e+06
"181","Jaren Jackson",56,"MEM","PF",0.53,0.39,0.13,0.04,0.05,63.3,274,5922720
"182","Brandon Ingram",52,"LAL","SF",0.54,0.41,0.16,0.09,0.02,60.6,267,5757120
"183","Anthony Tolliver",0,"MIN","PF",0.3,0.24,0.06,0.04,0.01,59.2,521,5750000
"184","De'Aaron Fox",81,"SAC","PG",0.55,0.43,0.16,0.23,0.02,59.1,183,5470920
"185","Ben McLemore",0,"SAC","SG",0.47,0.41,0.08,0.03,0.02,55,364,5460000
"186","Patrick Patterson",5,"OKC","PF",0.27,0.25,0.03,0.04,0.05,52.6,426,5451600
"187","Jason Smith",2,"TOT","PF-C",1.41,1.37,0.33,0.24,0.34,48.9,492,5450000
"188","Marcus Morris",53,"BOS","PF",0.5,0.4,0.08,0.05,0.04,59.9,385,5375000
"189","Trae Young",81,"ATL","PG",0.62,0.5,0.17,0.26,0.03,57.7,569,5363280
"190","DeMarcus Cousins",30,"GSW","C",0.63,0.48,0.19,0.14,0.06,60.4,123,5337000
"191","Thabo Sefolosha",2,"UTA","SF",0.31,0.24,0.04,0.04,0.01,62.3,477,5250000
"192","Aron Baynes",18,"BOS","C",0.35,0.27,0.08,0.07,0.11,60.8,41,5193600
"193","Jaylen Brown",25,"BOS","SG",0.5,0.41,0.11,0.05,0.03,57.6,80,5169960
"194","Patrick Beverley",49,"LAC","PG",0.28,0.22,0.06,0.14,0.04,60,52,5027028
"195","Dirk Nowitzki",20,"DAL","PF",0.47,0.47,0.06,0.04,0.01,48.6,405,5e+06
"196","Mike Muscala",20,"TOT","PF",1.06,0.86,0.17,0.17,0.12,59.1,395,5e+06
"197","Tony Parker",0,"CHO","PG",0.53,0.46,0.12,0.21,0.01,54.5,424,5e+06
"198","Jonathan Isaac",64,"ORL","PF",0.36,0.31,0.07,0.04,0.05,55.3,270,4969080
"199","Mo Bamba",1,"ORL","C",0.38,0.32,0.08,0.05,0.08,56.3,35,4871280
"200","Jamal Crawford",0,"PHO","SG",0.42,0.36,0.09,0.19,0.01,55.3,127,4698113
"201","Ron Baker",0,"NYK","SG",0.22,0.37,0.1,0.26,0.02,28.1,32,4697823
"202","Willie Cauley-Stein",81,"SAC","C",0.44,0.33,0.11,0.09,0.08,62.1,104,4696874
"203","Dragan Bender",27,"PHO","PF",0.28,0.24,0.07,0.07,0.04,54.8,49,4661280
"204","Lauri Markkanen",51,"CHI","PF",0.58,0.47,0.12,0.04,0.04,58.4,350,4536120
"205","Justin Holiday",154,"TOT","SG",0.99,0.89,0.12,0.17,0.05,54,249,4500000
"206","Ed Davis",1,"BRK","C",0.33,0.21,0.11,0.04,0.15,70.5,136,4449000
"207","Kyle O'Quinn",3,"IND","C",0.42,0.37,0.06,0.15,0.08,54.8,412,4449000
"208","Lance Stephenson",3,"LAL","SG",0.44,0.38,0.07,0.12,0.03,55.6,502,4449000
"209","Wendell Carter",44,"CHI","C",0.41,0.33,0.1,0.07,0.08,58.2,98,4446840
"210","Alex Len",31,"ATL","C",0.55,0.42,0.14,0.06,0.1,61,323,4350000
"211","Mike Scott",6,"TOT","PF",0.99,0.9,0.07,0.14,0.09,54.1,476,4320500
"212","Emmanuel Mudiay",42,"NYK","PG",0.54,0.46,0.12,0.14,0.02,55.5,391,4294479
"213","Kris Dunn",44,"CHI","PG",0.37,0.36,0.05,0.2,0.01,49.9,159,4221000
"214","Frank Ntilikina",16,"NYK","PG",0.27,0.31,0.03,0.13,0.01,42.6,406,4155720
"215","Glenn Robinson",18,"DET","SF",0.32,0.29,0.07,0.03,0.03,52.4,459,4075000
"216","Collin Sexton",72,"CLE","PG",0.53,0.46,0.1,0.09,0.02,55,479,4073760
"217","Stanley Johnson",14,"TOT","SF",1.14,1.1,0.16,0.25,0.09,50.2,286,3940401
"218","Buddy Hield",82,"SAC","SG",0.65,0.52,0.07,0.08,0.04,60.7,244,3833760
"219","Dennis Smith",100,"TOT","PG",1.45,1.31,0.32,0.51,0.06,52.5,494,3819960
"220","Jodie Meeks",0,"TOR","SG",0.49,0.38,0.01,0.08,0.01,64.1,366,3774176
"221","Kevin Knox",57,"NYK","PF",0.45,0.42,0.1,0.04,0.03,50.9,308,3744840
"222","Alex Abrines",2,"OKC","SG",0.28,0.27,0.02,0.03,0.01,51,1,3667645
"223","Zach Collins",0,"POR","C",0.38,0.29,0.09,0.05,0.08,61.3,115,3628920
"224","Frank Kaminsky",0,"CHO","C",0.54,0.39,0.14,0.08,0.05,64.2,301,3627842
"225","Mikal Bridges",56,"PHO","SF",0.28,0.23,0.05,0.07,0.02,58.1,73,3557400
"226","Michael Beasley",2,"LAL","PF",0.65,0.55,0.14,0.09,0.05,56,44,3500000
"227","Jamal Murray",74,"DEN","PG",0.56,0.48,0.09,0.15,0.03,56,392,3499800
"228","Rodney Hood",98,"TOT","SG",1.26,1.05,0.24,0.19,0.04,57.1,254,3472887
"229","Justise Winslow",52,"MIA","SF",0.42,0.38,0.07,0.14,0.03,53.1,564,3448926
"230","Malik Monk",0,"CHO","SG",0.52,0.47,0.08,0.09,0.01,53.3,379,3447480
"231","Cameron Payne",26,"TOT","PG",1.1,0.94,0.2,0.43,0.05,55.9,429,3440356
"232","Allonzo Trier",3,"NYK","SG",0.48,0.36,0.15,0.08,0.02,61.1,524,3382000
"233","Brook Lopez",81,"MIL","C",0.43,0.34,0.06,0.04,0.01,60.9,335,3382000
"234","Shai Gilgeous-Alexander",73,"LAC","PG",0.41,0.33,0.09,0.12,0.03,58.6,201,3375360
"235","Trey Lyles",2,"DEN","PF",0.49,0.44,0.1,0.08,0.04,53,342,3364249
"236","Ekpe Udoh",1,"UTA","C",0.37,0.22,0.09,0.09,0.08,77.1,528,3360000
"237","Devin Booker",64,"PHO","SG",0.76,0.56,0.2,0.19,0.02,62.9,67,3314365
"238","Myles Turner",74,"IND","C",0.46,0.37,0.09,0.05,0.05,59,527,3294994
"239","Luke Kennard",10,"DET","SG",0.43,0.36,0.04,0.08,0.01,58.3,303,3275280
"240","Troy Daniels",1,"PHO","SG",0.42,0.36,0.03,0.03,0.02,57.3,134,3258539
"241","Kelly Oubre",38,"TOT","SF",1.61,1.29,0.37,0.12,0.11,58.7,420,3208630
"242","Miles Bridges",25,"CHO","SF",0.35,0.3,0.05,0.06,0.04,56.3,74,3206640
"243","Marquese Chriss",4,"TOT","PF",1.03,1.06,0.25,0.14,0.23,46.2,111,3206160
"244","Tomas Satoransky",54,"WAS","PG",0.33,0.24,0.07,0.18,0.04,64.6,474,3129187
"245","Bryn Forbes",81,"SAS","SG",0.42,0.34,0.03,0.08,0.01,60.6,181,3125000
"246","Donovan Mitchell",77,"UTA","SG",0.7,0.59,0.15,0.12,0.02,56.2,378,3111480
"247","Terry Rozier",14,"BOS","PG",0.4,0.37,0.05,0.13,0.02,52.5,467,3050389
"248","Jerome Robinson",0,"LAC","SG",0.35,0.34,0.03,0.06,0.01,50.5,460,3050160
"249","Elfrid Payton",42,"NOP","PG",0.36,0.33,0.06,0.26,0.04,52.4,430,3e+06
"250","Yogi Ferrell",3,"SAC","PG",0.39,0.33,0.06,0.13,0.01,56.8,179,3e+06
"251","Bam Adebayo",28,"MIA","C",0.38,0.25,0.12,0.1,0.09,68.7,5,2955840
"252","Justin Jackson",28,"TOT","SF",1.13,0.93,0.15,0.17,0.09,58.7,275,2807880
"253","Thon Maker",10,"TOT","C-PF",1.02,0.84,0.26,0.14,0.13,56.8,348,2799720
"254","Seth Curry",2,"POR","SG",0.42,0.33,0.04,0.05,0.02,62,133,2795000
"255","Cedi Osman",75,"CLE","SF",0.41,0.35,0.07,0.08,0.02,56.1,419,2775000
"256","Sam Dekker",10,"TOT","PF",1.07,0.94,0.18,0.17,0.19,54.6,140,2760094
"257","Troy Brown",10,"WAS","SF",0.34,0.32,0.06,0.11,0.05,51,81,2752680
"258","Guerschon Yabusele",1,"BOS","PF",0.37,0.31,0.09,0.06,0.09,56.1,567,2667600
"259","Justin Patton",0,"PHI","C",0.24,0.33,0.1,0.14,0.1,34.1,427,2667600
"260","Domantas Sabonis",5,"IND","C",0.57,0.38,0.16,0.12,0.1,68.6,470,2659800
"261","Jerian Grant",1,"ORL","PG",0.27,0.23,0.04,0.17,0.02,56.5,212,2639313
"262","Zhaire Smith",2,"PHI","SG",0.36,0.31,0.07,0.09,0.03,55.3,495,2615160
"263","Corey Brewer",6,"TOT","SF",0.96,0.81,0.27,0.23,0.14,55.2,72,2559925
"264","Delon Wright",26,"TOT","PG",1.15,0.99,0.27,0.44,0.12,54.8,566,2536898
"265","DJ Wilson",3,"MIL","PF",0.32,0.28,0.05,0.06,0.05,55,563,2534280
"266","Dario Saric",82,"TOT","PF",1.23,1.02,0.22,0.19,0.18,57.6,473,2526840
"267","Justin Anderson",4,"ATL","SF",0.38,0.34,0.08,0.05,0.05,53.1,18,2516047
"268","Shelvin Mack",6,"TOT","PG",0.91,0.98,0.34,0.32,0.03,43.1,344,2512601
"269","Reggie Bullock",120,"TOT","SG",1.11,0.93,0.13,0.19,0.03,57.9,87,2500000
"270","Bobby Portis",56,"TOT","PF",1.65,1.46,0.23,0.17,0.25,54.6,440,2494346
"271","Dante Cunningham",21,"SAS","PF",0.21,0.17,0.02,0.05,0.05,60.2,131,2487000
"272","Donte DiVincenzo",0,"MIL","SG",0.32,0.3,0.03,0.08,0.04,52.2,151,2484360
"273","Rondae Hollis-Jefferson",21,"BRK","SF",0.43,0.39,0.15,0.08,0.07,50.8,252,2470356
"274","Tyus Jones",23,"MIN","PG",0.3,0.29,0.04,0.21,0.01,50.2,292,2444052
"275","Jarell Martin",1,"ORL","PF",0.35,0.32,0.03,0.05,0.03,53.6,351,2416221
"276","Greg Monroe",4,"TOT","C",2.9,2.22,0.51,0.42,0.96,62.2,380,2410167
"277","TJ Leaf",1,"IND","PF",0.43,0.35,0.06,0.05,0.08,59.2,319,2407560
"278","Amir Johnson",6,"PHI","C",0.38,0.3,0.08,0.11,0.09,59.8,287,2393887
"279","Carmelo Anthony",2,"HOU","PF",0.46,0.41,0.07,0.02,0.03,54.1,22,2393887
"280","Channing Frye",6,"CLE","C",0.38,0.34,0.04,0.06,0.01,54.5,188,2393887
"281","Devin Harris",2,"DAL","PG",0.4,0.32,0.13,0.11,0.01,57.4,230,2393887
"282","Dwyane Wade",2,"MIA","SG",0.57,0.51,0.12,0.16,0.04,53.1,536,2393887
"283","JaVale McGee",62,"LAL","C",0.54,0.38,0.09,0.03,0.12,67.5,361,2393887
"284","Jeff Green",44,"WAS","PF",0.45,0.33,0.1,0.07,0.03,63.9,217,2393887
"285","Jose Calderon",0,"DET","PG",0.18,0.19,0.02,0.18,0.02,46.3,93,2393887
"286","Raymond Felton",0,"OKC","PG",0.37,0.36,0.03,0.14,0.01,50.5,177,2393887
"287","Udonis Haslem",1,"MIA","C",0.34,0.45,0.05,0.03,0.04,36.9,235,2393887
"288","Vince Carter",9,"ATL","PF",0.42,0.35,0.05,0.07,0.02,58.2,99,2393887
"289","Zaza Pachulia",3,"DET","C",0.3,0.22,0.14,0.1,0.11,59.8,421,2393887
"290","Lonnie Walker",0,"SAS","SG",0.38,0.39,0.08,0.08,0,46.6,540,2360160
"291","John Collins",59,"ATL","PF",0.65,0.45,0.15,0.07,0.12,67.3,116,2299080
"292","Larry Nance",30,"CLE","C",0.35,0.27,0.07,0.12,0.09,61.3,398,2272390
"293","Kevin Huerter",59,"ATL","SG",0.35,0.32,0.03,0.1,0.03,53.6,259,2250960
"294","Harry Giles",0,"SAC","PF",0.5,0.42,0.11,0.1,0.08,56.3,200,2207040
"295","Darius Miller",15,"NOP","SF",0.32,0.28,0.04,0.08,0.01,55.4,372,2205000
"296","Henry Ellenson",0,"TOT","PF",1.36,1.13,0.27,0.17,0.04,57.2,163,2199311
"297","Derrick Rose",13,"MIN","PG",0.66,0.54,0.11,0.16,0.02,58.5,465,2176260
"298","Omri Casspi",0,"MEM","SF",0.43,0.31,0.11,0.05,0.03,64.3,103,2176260
"299","Juan Hernangomez",25,"DEN","PF",0.3,0.23,0.06,0.04,0.05,61.7,239,2166360
"300","Jonas Jerebko",6,"GSW","PF",0.38,0.29,0.07,0.08,0.06,62.2,282,2165481
"301","Quincy Pondexter",0,"SAS","SF",0.34,0.2,0.14,0.08,0.03,73.7,437,2165481
"302","Josh Okogie",52,"MIN","SG",0.32,0.29,0.09,0.05,0.02,51.6,416,2163600
"303","Nik Stauskas",0,"TOT","SG",1.18,0.99,0.2,0.23,0.06,57.1,500,2161886
"304","Terrance Ferguson",74,"OKC","SG",0.27,0.22,0.03,0.04,0.02,59.6,178,2118840
"305","Raul Neto",1,"UTA","PG",0.41,0.34,0.07,0.2,0.01,57.7,400,2100000
"306","Salah Mejri",4,"DAL","C",0.35,0.28,0.08,0.09,0.09,58.8,367,2098196
"307","Grayson Allen",2,"UTA","SG",0.51,0.43,0.14,0.06,0.01,55.3,12,2076960
"308","Jarrett Allen",80,"BRK","C",0.42,0.27,0.13,0.05,0.09,70.3,13,2034120
"309","Isaiah Thomas",0,"DEN","SG",0.54,0.55,0.15,0.13,0.03,46.3,515,2029463
"310","Torrey Craig",37,"DEN","SF",0.29,0.24,0.05,0.05,0.06,57.8,126,2e+06
"311","Chandler Hutchison",14,"CHI","SF",0.26,0.23,0.04,0.04,0.03,54.4,262,1991520
"312","Ante Zizic",25,"CLE","C",0.42,0.31,0.12,0.05,0.1,62.4,574,1952760
"313","OG Anunoby",6,"TOR","SF",0.35,0.3,0.05,0.03,0.04,56.3,23,1952760
"314","Shabazz Napier",2,"BRK","PG",0.54,0.44,0.14,0.15,0.02,57.3,399,1942422
"315","Aaron Holiday",0,"IND","PG",0.46,0.41,0.08,0.13,0.01,53.8,250,1914480
"316","Tyler Lydon",0,"DEN","PF",0.24,0.19,0.03,0.06,0.07,61,341,1874640
"317","Anfernee Simons",1,"POR","SG",0.53,0.45,0.11,0.09,0.02,55.9,487,1837800
"318","Tim Frazier",38,"TOT","PG",0.89,0.76,0.15,0.65,0.11,56.1,184,1832107
"319","Trey Burke",16,"TOT","PG",1.68,1.44,0.33,0.43,0.08,55.5,88,1795015
"320","Malik Beasley",18,"DEN","SG",0.49,0.39,0.04,0.05,0.02,61.4,45,1773840
"321","Moritz Wagner",5,"LAL","C",0.46,0.38,0.12,0.05,0.04,56.6,537,1764240
"322","Ian Clark",6,"NOP","SG",0.41,0.39,0.04,0.1,0.01,51.4,112,1757429
"323","Nerlens Noel",2,"OKC","C",0.36,0.26,0.07,0.04,0.12,65.4,404,1757429
"324","Deyonta Davis",0,"ATL","C",0.31,0.19,0.08,0.04,0.08,74.7,137,1741503
