"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"385","Semi Ojeleye",3,"BOS","PF",0.31,0.27,0.07,0.04,0.04,54.3,413,1378242
"386","Sindarius Thornwell",1,"LAC","SG",0.2,0.16,0.11,0.06,0.02,54.3,520,1378242
"387","Sterling Brown",7,"MIL","SG",0.36,0.3,0.04,0.08,0.03,58.3,82,1378242
"388","Thomas Bryant",53,"WAS","C",0.51,0.34,0.09,0.06,0.08,70.9,86,1378242
"389","Tyler Dorsey",22,"TOT","SG",1.24,1.12,0.27,0.24,0.11,52.6,153,1378242
"390","Wesley Iwundu",13,"ORL","SF",0.27,0.22,0.08,0.06,0.03,56.8,271,1378242
"391","Zhou Qi",0,"HOU","PF",2,1,0,0,0,100,447,1378242
"392","Alfonzo McKinnie",5,"GSW","SF",0.34,0.27,0.05,0.03,0.08,60.5,363,1349383
"393","Antonio Blakeney",3,"CHI","SG",0.5,0.48,0.09,0.05,0.01,50,58,1349383
"394","Daniel Hamilton",3,"ATL","SG",0.28,0.29,0.03,0.11,0.05,47.2,220,1349383
"395","Ike Anigbogu",0,"IND","C",0,0.5,0,0.17,0.17,0,19,1349383
"396","Monte Morris",6,"DEN","PG",0.43,0.36,0.04,0.15,0.02,58.3,386,1349383
"397","Ryan Arcidiacono",32,"CHI","PG",0.28,0.21,0.05,0.14,0.01,63.3,24,1349383
"398","Tyrone Wallace",0,"LAC","PG",0.35,0.35,0.09,0.07,0.03,47.3,542,1349383
"399","Shaquille Harrison",11,"CHI","PG",0.33,0.3,0.09,0.1,0.02,51.6,231,1325531
"400","Elie Okobo",16,"PHO","PG",0.32,0.3,0.05,0.13,0.01,51.4,415,1238464
"401","Jalen Brunson",38,"DAL","PG",0.43,0.36,0.08,0.14,0.02,56.9,85,1230000
"402","Melvin Frazier",0,"ORL","SG",0.34,0.48,0.09,0.02,0.07,34,185,1050000
"403","Isaac Bonga",0,"LAL","PG",0.16,0.28,0.12,0.12,0.07,26.1,66,1e+06
"404","Chasson Randle",2,"WAS","PG",0.36,0.29,0.08,0.13,0.01,58.5,450,975824
"405","Patrick McCaw",2,"TOT","SG",0.48,0.49,0.08,0.19,0.04,47.3,357,964104
"406","De'Anthony Melton",31,"PHO","PG",0.25,0.26,0.03,0.16,0.03,46.9,368,949000
"407","Alize Johnson",0,"IND","PF",0.2,0.25,0.12,0.02,0.06,36.2,289,838464
"408","Brad Wanamaker",0,"BOS","PG",0.41,0.31,0.08,0.16,0.01,62.6,543,838464
"409","Bruce Brown",56,"DET","SG",0.22,0.22,0.04,0.06,0.03,48.1,83,838464
"410","Chimezie Metu",0,"SAS","PF",0.35,0.4,0.12,0.09,0.06,41,369,838464
"411","Gary Trent",1,"POR","SG",0.36,0.45,0.06,0.05,0.01,38.9,523,838464
"412","Hamidou Diallo",3,"OKC","SG",0.36,0.31,0.11,0.03,0.07,53.9,148,838464
"413","Isaiah Briscoe",0,"ORL","PG",0.24,0.25,0.05,0.16,0.01,46,75,838464
"414","Isaiah Hartenstein",0,"HOU","PF",0.24,0.19,0.06,0.07,0.1,59.1,234,838464
"415","Jarred Vanderbilt",0,"DEN","PF",0.35,0.28,0.14,0.04,0.1,56.3,532,838464
"416","Jevon Carter",3,"MEM","PG",0.3,0.32,0.06,0.12,0.02,45,100,838464
"417","Keita Bates-Diop",3,"MIN","SF",0.3,0.28,0.06,0.03,0.03,51.2,38,838464
"418","Kenrich Williams",29,"NOP","SF",0.26,0.26,0.02,0.08,0.05,49.2,558,838464
"419","Khyri Thomas",0,"DET","SG",0.31,0.35,0.06,0.04,0.02,42.7,516,838464
"420","Ryan Broekhoff",0,"DAL","SG",0.37,0.28,0.04,0.05,0.02,64.1,76,838464
"421","Lorenzo Brown",0,"TOR","PG",0.26,0.33,0.01,0.13,0.02,39.1,84,8e+05
"422","Davon Reed",0,"IND","SG",0.26,0.26,0,0.06,0.04,50,453,752250
"423","Isaiah Canaan",32,"TOT","PG",1.11,1.02,0.12,0.55,0.05,53,95,744671
"424","Bruno Caboclo",19,"MEM","SF",0.35,0.28,0.06,0.06,0.05,59.7,92,705361
"425","Gary Clark",2,"HOU","PF",0.23,0.24,0.01,0.03,0.04,47.5,113,674122
"426","James Nunnally",0,"TOT","SF",1.01,1,0.1,0.2,0,49.4,408,663255
"427","Kalin Lucas",0,"DET","PG",0.33,0.17,0.33,0.17,0,68,339,648008
"428","John Jenkins",0,"TOT","SG",1.15,0.78,0.11,0.2,0.04,71.5,281,585809
"429","Deonte Burton",0,"OKC","SG",0.34,0.34,0.05,0.04,0.02,48.4,90,5e+05
"430","Andrew Bogut",5,"GSW","C",0.29,0.27,0.02,0.08,0.09,52.8,64,486892
"431","Chris Boucher",0,"TOR","PF",0.57,0.47,0.09,0.01,0.1,58.2,69,457418
"432","Malcolm Miller",0,"TOR","SF",0.52,0.39,0.06,0.01,0.01,64.5,373,457418
"433","Edmond Sumner",2,"IND","PG",0.31,0.3,0.11,0.05,0.04,47.8,504,449794
"434","Yante Maten",0,"MIA","PF",0.15,0.31,0,0,0.08,24.2,353,385000
"435","Andrew Harrison",0,"TOT","PG",1.22,1.27,0.26,0.43,0.11,46,232,354500
"436","Eric Moreland",0,"TOR","PF",0.35,0.35,0,0.2,0.2,50,383,309859
"437","Nick Young",0,"DEN","SG",0.24,0.24,0,0.05,0,50,570,284020
"438","Danuel House",13,"HOU","SF",0.37,0.26,0.07,0.04,0.03,67.2,257,247827
"439","Okaro White",0,"WAS","PF",0,0.33,0,0,0.17,0,550,247827
"440","Jaylen Adams",1,"ATL","PG",0.25,0.26,0.02,0.15,0.03,47.3,4,236854
"441","Quincy Acy",0,"PHO","PF",0.14,0.15,0.08,0.07,0.02,41.8,2,213948
"442","Tyler Zeller",2,"MEM","C",1.06,0.85,0.41,0.17,0.41,56.4,573,213948
"443","Jimmer Fredette",0,"PHO","SG",0.34,0.45,0.09,0.12,0.02,36.2,187,198579
"444","Terrence Jones",0,"HOU","PF",0.4,0.8,0.2,0,0,23.7,295,198579
"445","Dairis Bertans",0,"NOP","SG",0.2,0.28,0,0.06,0.01,35.7,51,194220
"446","Demetrius Jackson",0,"PHI","PG",0.56,0.38,0.1,0.13,0.05,69.7,277,170107
"447","BJ Johnson",0,"TOT","SF",1.29,1.07,0.09,0,0.09,59.2,290,142111
"448","Chris Chiozza",0,"HOU","PG",0.18,0.24,0,0.12,0.03,37.5,110,137374
"449","Johnathan Williams",0,"LAL","C",0.42,0.3,0.13,0.03,0.13,63.9,559,127250
"450","Donatas Motiejunas",0,"SAS","PF",0.46,0.46,0.15,0.08,0.15,46.7,388,99289
"451","Emanuel Terry",0,"TOT","PF",1.22,0.94,0.94,0.47,0.56,53.2,512,94740
"452","Gary Payton",0,"WAS","PG",0.69,0.5,0,0.25,0.06,69,431,85457
"453","JaKarr Sampson",0,"CHI","SF",0.63,0.43,0.17,0.03,0.04,67.4,471,85457
"454","Alan Williams",0,"BRK","PF",0.69,0.5,0.15,0.12,0.15,64.7,562,77250
"455","Alex Caruso",4,"LAL","PG",0.43,0.33,0.12,0.15,0.04,60.3,102,77250
"456","Alex Poythress",1,"ATL","PF",0.35,0.27,0.1,0.06,0.1,59.9,444,77250
"457","Amile Jefferson",0,"ORL","PF",0.4,0.24,0.12,0.04,0.09,75.1,280,77250
"458","Angel Delgado",0,"LAC","C",0.2,0.33,0.13,0,0.13,27.9,141,77250
"459","Bonzie Colson",2,"MIL","SF",0.4,0.4,0.09,0.03,0.08,47.6,118,77250
"460","Brandon Sampson",2,"CHI","SG",0.33,0.28,0.03,0.05,0.01,57.6,472,77250
"461","CJ Williams",0,"MIN","SG",0.3,0.27,0.01,0.09,0.01,55.1,561,77250
"462","Damion Lee",0,"GSW","SG",0.42,0.34,0.06,0.03,0.02,59.5,321,77250
"463","Daryl Macon",0,"DAL","SG",0.32,0.3,0.08,0.08,0.02,50.4,345,77250
